"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"WK02"	"WK02_01"	"SD01_01"	"SD02_01"	"SD03"	"EX01"	"EX01_07"	"EX02"	"EX02_07"	"EX03"	"EX03_07"	"EX04"	"EX04_07"	"EX05"	"EX05_07"	"EX06"	"EX06_07"	"EX07"	"EX07_07"	"EX08"	"EX08_07"	"EX09"	"EX09_07"	"EX10"	"EX10_07"	"EX11"	"EX11_07"	"EX12"	"EX12_07"	"EX13"	"EX13_07"	"EX14"	"EX14_07"	"EX15"	"EX15_07"	"EX16"	"EX16_07"	"EX17"	"EX17_07"	"EX18"	"EX18_07"	"EX19"	"EX20"	"EX20_07"	"EX21"	"EX21_07"	"EX22"	"EX22_07"	"EX23"	"EX23_07"	"EX24"	"EX25"	"EX26"	"EX26_07"	"EX27"	"EX27_07"	"EX28"	"EX28_07"	"EX29"	"EX29_07"	"EX30"	"EX30_07"	"EX31"	"EX31_07"	"EX32"	"EX32_07"	"EX33"	"EX33_07"	"EX34"	"EX34_07"	"EX35"	"EX35_07"	"EX36"	"EX36_07"	"EX37"	"EX37_07"	"EX38"	"EX38_07"	"EX39"	"EX39_07"	"EX40"	"EX40_07"	"EX41"	"EX41_07"	"EX42"	"EX42_07"	"EX43"	"EX43_07"	"EX44"	"EX44_07"	"EX45"	"EX45_07"	"EX46"	"EX46_07"	"EX47"	"EX47_07"	"EX48"	"EX48_07"	"EX49"	"EX49_07"	"EX50"	"EX50_07"	"EX51"	"EX51_07"	"EX52"	"EX53"	"EX53_07"	"EX54"	"EX54_07"	"EX55"	"EX55_07"	"EX56"	"EX56_07"	"EX57"	"EX57_07"	"EX58"	"EX58_07"	"EX59"	"EX59_07"	"EX60"	"EX60_07"	"EX61"	"EX61_07"	"EX62"	"EX63"	"EX63_07"	"EX64"	"EX65"	"EX65_07"	"EX66"	"EX67"	"EX67_07"	"EX68"	"EX68_07"	"EX69"	"EX69_07"	"EX70"	"KO01"	"KO01_07"	"KO02"	"KO02_07"	"KO03"	"KO03_07"	"KO04"	"KO04_07"	"KO05"	"KO05_07"	"KO06"	"KO06_07"	"KO07"	"KO07_07"	"KO08"	"KO09"	"KO10"	"KO10_07"	"KO11"	"KO12"	"KO13"	"KO13_07"	"KO14"	"KO14_07"	"KO15"	"ZF01_CP"	"ZF01x01"	"ZF01x02"	"ZF01x03"	"ZF01x04"	"ZF01x05"	"ZF01x06"	"ZF01x07"	"ZF01x08"	"ZF01x09"	"ZF01x10"	"ZF01x11"	"ZF01x12"	"ZF01x13"	"ZF01x14"	"ZF01x15"	"ZF01x16"	"ZF01x17"	"ZF01x18"	"ZF01x19"	"ZF01x20"	"ZF01x21"	"ZF01x22"	"ZF01x23"	"ZF01x24"	"ZF01x25"	"ZF01x26"	"ZF01x27"	"ZF01x28"	"ZF01x29"	"ZF01x30"	"ZF01x31"	"ZF01x32"	"ZF01x33"	"ZF01x34"	"ZF01x35"	"ZF01x36"	"ZF01x37"	"ZF01x38"	"ZF01x39"	"ZF01x40"	"ZF01x41"	"ZF01x42"	"ZF01x43"	"ZF01x44"	"ZF01x45"	"ZF01x46"	"ZF01x47"	"ZF01x48"	"ZF01x49"	"ZF01x50"	"ZF01x51"	"ZF01x52"	"ZF01x53"	"ZF01x54"	"ZF01x55"	"ZF01x56"	"ZF01x57"	"ZF01x58"	"ZF01x59"	"ZF01x60"	"ZF01x61"	"ZF01x62"	"ZF01x63"	"ZF01x64"	"ZF01x65"	"ZF01x66"	"ZF01x67"	"ZF01x68"	"ZF01x69"	"ZF01x70"	"ZF01x71"	"ZF01x72"	"ZF01x73"	"ZF01x74"	"ZF01x75"	"ZF01x76"	"ZF01x77"	"ZF01x78"	"ZF01x79"	"ZF01x80"	"ZF01x81"	"ZF01x82"	"ZF01x83"	"ZF01x84"	"ZF01x85"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
116			"base"	"interview"	2021-02-23 12:22:52	1	T	"69"	"deutsch"	1	4		4		4		4		1		4		4		4		4		2		1		4		4		4		3		3		4		4		3	2		4		4		1		1	1	4		4		2		4		4		2		7	"kenn ich nicht"	6		4		3		7	"kenne ich nicht"	4		2		4		2		1		4		1		4		4		4		2		7	"kenne ich nicht"	1		4		1		1	7	"kenne ich nicht"	1		1		1		4		1		7	"kenne ich nicht"	1		7	"kenne ich nicht"	1	2		1	7	"kenne ich nicht"	1	1		4		4		1	6		3		4		2		1		1		4		4	3	4		3	4	2		7	"Geschmack"	5	69	16	54	10	15	26	81	78	9	80	3	18	75	67	51	79	37	66	1	73	17	57	23	12	27	77	44	31	56	46	47	43	4	42	35	39	52	2	13	30	8	68	36	14	20	29	22	41	11	85	45	19	34	32	6	55	33	28	63	65	48	25	64	83	49	38	50	53	61	60	5	24	40	70	71	82	74	76	59	69	58	21	84	72	62	7	30	10	5	2	6	5	6	7	6	3	12	25	3	5	2	7	7	28	4	8	8	8	4	11	3	3	3	12	3	5	7	5	5	8	10	5	7	11	8	8	3	5	4	6	4	5	9	5	3	10	3	3	3	5	8	6	3	2	6	6	8	5	13	8	3	6	11	3	7	3	6	5	2	6	9	16	3	9	15	5	7	11	16	3	3	23	7	6	514		2021-02-23 12:33:25	T	F	88	88	0	0	0.84	6
117			"base"	"interview"	2021-02-23 12:23:08	1	T	"35"	"deutsch"	2	4		4		4		4		1		4		4		4		4		4		1		4		4		4		1		4		2		4		3	2		4		1		1		1	1	1		4		2		4		2		2		1		4		4		3		7	"Das Wort kenne ich nicht"	3		2		4		2		3		4		4		4		1		4		2		1		1		4		3		2	1		1		1		1		1		1		1		1		1		1	4		1	1		1	1		1		1		1	6		3		4		2		1		4		4		4	3	4		4	4	2		4		4	70	57	13	41	71	26	27	35	32	69	58	76	77	38	51	81	78	65	43	83	11	22	48	28	45	80	68	17	42	39	82	73	84	52	4	59	3	14	44	62	70	34	30	20	33	46	31	50	85	9	60	64	21	54	63	18	66	15	67	55	1	25	8	47	56	29	19	53	49	79	2	16	75	40	74	5	24	6	72	10	61	37	12	23	36	7	18	16	5	3	2	3	2	3	3	4	6	2	3	5	8	3	8	3	4	3	5	4	3	4	3	3	2	3	9	4	3	3	5	8	3	3	4	14	3	5	4	6	8	3	4	2	3	2	4	5	4	4	4	3	3	4	1	4	7	3	6	3	3	3	3	1	3	5	2	3	3	2	3	2	4	2	2	6	4	3	3	9	4	2	2	7	2	3	368		2021-02-23 12:29:17	T	F	88	88	0	0	1.3	19
118			"base"	"interview"	2021-02-23 12:23:08	1	T	"31"	"Deutsch"	2	4		4		4		4		1		4		4		4		4		4		1		4		4		4		5		4		4		4		6	1		4		4		1		2	1	1		4		2		4		2		2		6		6		4		4		3		3		4		4		2		4		4		4		4		3		1		2		4		3		4		3		3	3		1		3		1		4		3		1		4		1		1	2		4	3		4	1		4		4		1	6		3		4		2		1		1		4		4	6	4		3	4	2		3		3	67	73	46	37	14	34	52	38	28	85	30	63	81	49	8	39	1	61	80	13	64	42	35	32	53	60	21	66	6	75	72	33	27	15	83	79	62	50	76	12	4	67	16	17	59	26	24	22	84	31	18	69	55	9	65	10	82	78	45	3	58	74	29	40	25	48	43	11	47	54	70	5	77	57	7	51	20	23	68	41	71	2	36	19	44	56	3	8	2	4	2	3	4	4	3	4	3	3	2	3	3	14	2	5	3	3	5	2	3	8	4	5	3	3	3	4	6	2	1	5	6	3	2	4	4	4	7	3	5	8	3	4	5	4	2	3	6	3	2	4	2	2	2	2	3	3	2	3	4	3	3	3	2	3	3	2	2	3	3	2	15	4	3	1	2	4	2	5	6	1	5	3	3	2	312		2021-02-23 12:28:31	T	F	88	88	0	0	1.46	28
119			"base"	"interview"	2021-02-23 12:23:15	1	T	"31"	"deutsch"	2	1		1		1		1		1		1		2		4		4		4		1		1		4		1		1		1		4		7	"Geschmack"	6	2		4		1		1		1	1	1		4		1		1		2		2		1		3		3		6		1		3		7	"Zeit"	4		2		2		1		1		3		3		4		2		1		1		1		3		1	1		1		1		1		1		1		1		1		1		1	2		1	1		1	1		1		1		1	6		3		6		2		1		1		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	3	68	70	24	77	57	82	41	80	20	5	50	6	68	73	60	85	22	65	51	72	55	84	30	2	64	31	52	38	1	3	66	42	81	53	58	74	67	23	75	12	44	63	33	36	16	61	59	83	35	28	40	46	26	29	62	47	69	37	15	4	49	43	25	17	9	45	19	54	32	8	18	48	78	39	10	7	27	56	11	13	14	21	34	71	76	79	2	7	2	2	2	3	3	5	2	2	4	3	3	2	5	2	2	2	4	8	3	10	4	3	1	5	2	3	3	2	3	7	6	2	5	3	7	4	2	15	5	3	15	3	3	6	5	5	3	5	3	5	2	2	2	3	2	2	4	3	2	3	3	3	4	4	2	4	3	8	2	11	2	4	10	3	2	2	5	5	3	8	4	4	3	10	2	5	339		2021-02-23 12:29:13	T	F	88	88	0	0	1.38	25
120			"base"	"interview"	2021-02-23 12:23:22	1	T	"60"	"Deutsch"	2	4		4		4		4		1		4		1		4		4		4		1		4		4		4		1		4		4		4		2	2		4		5		1		1	1	4		4		2		1		2		1		1		3		5		5		6		4		2		4		4		2		4		1		5		4		4		2		1		4		5		1		2	1		1		1		1		1		1		1		1		1		1	2		1	1		1	1		4		4		1	6		3		7	"Geruch"	2		1		1		3		4	3	4		5	4	2		5		3	71	11	85	31	1	84	2	56	6	54	44	4	60	21	41	83	9	18	61	27	49	36	12	33	46	30	35	57	68	71	50	73	48	24	72	39	22	40	15	55	82	25	38	74	26	19	80	8	16	20	58	13	3	5	79	10	29	59	77	69	52	42	63	7	43	23	81	17	62	28	67	76	32	37	64	78	53	45	75	47	70	65	14	34	66	51	12	19	9	6	4	4	5	11	5	5	5	6	16	8	5	2	4	6	3	4	7	7	6	10	3	4	4	4	4	7	4	5	7	6	5	6	6	7	4	7	12	10	12	3	6	8	8	4	6	6	5	6	4	3	5	4	5	9	5	10	4	9	6	4	6	4	7	3	3	5	6	3	4	4	21	4	4	3	4	4	3	10	5	6	8	15	15	4	520		2021-02-23 12:32:41	T	F	88	88	0	0	0.83	3
121			"base"	"interview"	2021-02-23 12:23:34	1	T	"22"	"Deutsch"	2	3		4		4		4		3		1		4		2		1		4		1		4		1		3		2		1		2		2		2	2		1		3		1		1	1	2		4		2		1		2		2		1		3		3		3		2		3		2		2		3		3		4		3		3		3		4		2		2		1		3		1		3	1		1		1		1		1		2		1		1		1		1	2		1	1		1	1		1		1		1	6		5		7	"Geruch"	2		1		3		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	5	72	70	62	31	2	36	38	3	5	23	47	58	10	28	19	20	53	83	41	27	61	43	22	33	4	40	34	67	42	12	49	17	37	75	59	35	39	74	46	78	60	52	66	44	32	82	7	24	64	79	26	8	25	18	9	69	77	16	21	63	51	81	50	45	55	48	73	1	54	80	76	85	30	65	6	57	71	15	68	14	13	11	56	84	72	29	8	9	6	6	7	5	13	3	4	9	4	4	4	4	4	6	4	4	6	9	8	2	3	4	8	3	2	4	6	5	8	3	8	3	14	4	3	11	15	6	4	7	4	6	6	2	5	5	4	8	22	5	7	3	5	6	8	2	2	8	2	3	3	6	5	3	4	2	6	3	4	10	5	13	11	4	6	8	14	3	3	8	4	5	7	9	7	4	468		2021-02-23 12:32:15	T	F	88	88	0	0	0.95	8
122			"base"	"interview"	2021-02-23 12:23:38	1	T	"28"	"deutsch"	1	1		4		4		4		1		4		4		4		4		4		1		4		4		4		1		2		1		3		2	2		3		3		2		1	1	1		3		2		1		2		2		1		3		3		3		1		4		3		4		2		2		4		4		4		1		4		2		2		1		4		2		1	1		1		1		2		1		2		6		1		1		1	2		1	2		1	1		1		4		1	3		3		7	"geruch"	2		1		1		5		4	5	4		4	4	2		7	"geschmack"	3	75	81	59	26	57	12	10	53	38	48	2	32	79	7	50	83	46	54	85	60	37	9	42	67	74	31	61	27	4	39	44	25	14	47	71	24	17	76	19	43	40	63	80	75	6	77	64	65	8	20	45	70	52	3	13	5	28	58	82	51	35	72	73	30	49	69	29	23	11	62	66	41	36	84	78	33	1	21	18	22	68	34	56	15	55	16	23	11	4	4	4	3	5	4	4	3	4	3	3	5	5	3	5	4	7	4	5	3	4	7	4	4	3	5	5	3	5	3	5	7	6	3	8	4	5	3	6	3	3	3	5	5	6	5	11	10	3	7	5	3	6	4	5	4	5	6	12	5	3	4	5	3	2	2	2	4	3	3	3	2	21	6	5	4	3	4	9	14	6	6	4	9	3	3	455		2021-02-23 12:31:13	T	F	88	88	0	0	1.02	7
123			"base"	"interview"	2021-02-23 12:23:41	1	T	"24"	"Deutsch"	2	1		1		2		4		1		4		4		4		4		4		1		3		4		4		6		4		4		4		5	1		6		1		4		1	1	1		2		2		4		2		1		1		3		3		5		4		3		4		4		2		2		4		2		3		4		4		2		1		1		2		2		1	1		1		1		1		1		1		1		1		1		1	2		1	1		1	1		1		1		1	6		3		4		2		1		1		5		4	5	7	"Geschmack"	5	4	2		5		3	73	72	3	23	37	84	8	22	51	70	61	9	47	38	74	28	66	79	26	7	34	43	52	19	62	33	16	57	82	67	50	75	78	49	39	56	64	27	12	81	6	24	54	10	5	73	15	30	25	55	29	44	11	14	76	18	4	69	71	48	77	45	40	41	83	13	59	32	36	65	42	63	31	2	58	46	80	68	53	17	20	85	21	1	60	35	4	43	3	5	4	9	3	5	7	8	4	2	3	2	7	9	4	4	4	8	5	2	4	3	14	2	2	18	15	5	23	6	17	9	3	5	18	8	9	8	4	3	3	16	22	9	5	4	7	5	6	23	8	5	3	2	4	3	2	2	2	2	5	3	34	2	4	2	2	4	8	23	2	7	9	2	2	5	10	2	14	15	3	4	4	11	3	1	443		2021-02-23 12:34:16	T	F	88	88	0	0	1.04	13
124			"base"	"interview"	2021-02-23 12:23:49	1	T	"25"	"deutsch"	2	2		2		4		1		1		4		1		4		4		4		1		4		6		4		1		1		4		4		3	2		1		3		1		1	1	1		1		2		1		2		1		3		3		4		6		6		3		3		4		2		5		4		6		4		3		4		6		3		2		3		3		2	5		2		1		1		1		4		2		1		1		1	2		1	2		4	1		1		1		1	6		3		4		4		1		4		4		4	3	4		4	4	6		4		3	74	68	49	52	56	55	39	11	34	2	21	75	73	80	77	19	83	71	36	10	28	25	79	82	37	38	64	6	30	74	85	46	67	18	35	59	15	7	41	3	13	81	45	22	43	70	8	54	29	50	4	31	57	44	26	33	32	9	78	72	84	66	62	27	51	16	20	47	69	61	24	12	53	42	76	5	48	1	17	58	63	40	65	23	60	14	5	8	3	2	3	2	2	7	3	3	5	2	6	2	3	1	2	2	2	5	3	2	3	9	1	4	8	3	3	7	3	3	3	2	3	3	8	10	5	5	4	3	8	3	4	3	3	3	2	5	13	2	2	3	2	3	4	3	3	3	15	2	1	2	3	2	2	2	2	4	2	2	2	3	9	1	5	6	1	2	3	4	3	3	2	1	4	2	308		2021-02-23 12:29:13	T	F	88	88	0	0	1.53	37
125			"base"	"interview"	2021-02-23 12:24:06	1	T	"34"	"Deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		4		4		4		3		4		4		4		6	4		4		1		5		1	1	1		4		2		4		2		2		1		3		4		3		6		4		2		4		2		2		4		1		4		3		4		4		2		1		2		4		2	1		2		1		1		1		3		2		1		4		1	2		1	2		2	1		1		2		1	3		3		7	"Geruch"	2		1		1		4		4	3	7	"Geschmack "	5	4	2		7	"Geschmack "	3	76	18	64	77	32	25	10	62	83	70	22	20	49	39	42	47	78	17	40	28	75	36	67	46	48	31	43	14	56	63	27	68	79	58	6	57	73	15	16	38	61	13	45	82	59	66	71	51	1	85	41	12	52	81	4	26	60	44	34	29	54	76	23	53	2	30	5	3	65	74	19	11	80	24	8	21	33	37	50	7	72	69	35	84	9	55	18	14	5	5	4	4	4	3	4	3	4	3	2	5	2	5	4	3	3	6	4	5	3	5	4	3	3	3	4	4	5	2	3	3	4	2	3	6	3	2	5	6	4	3	7	2	4	2	5	7	3	3	2	4	3	3	3	4	3	4	3	2	4	6	3	4	3	4	2	5	4	5	3	2	14	2	2	2	6	2	3	13	2	3	5	10	2	2	367		2021-02-23 12:30:13	T	F	88	88	0	0	1.27	17
126			"base"	"interview"	2021-02-23 12:24:23	1	T	"38"	"Deutsch"	2	4		4		4		4		2		7	"Ein Ausruf"	4		4		4		4		1		4		4		4		4		4		4		4		6	4		4		1		1		1	1	1		4		4		4		2		4		1		6		3		3		4		3		4		4		2		4		4		4		6		7	"Eine Person"	4		4		6		1		3		4		4	1		1		1		1		1		2		1		1		1		1	2		1	2		1	1		4		4		1	6		3		4		2		1		1		4		4	6	4		5	4	2		4		3	77	10	81	25	44	71	5	70	6	50	74	79	36	32	14	45	56	37	19	47	51	3	75	84	23	27	43	48	38	61	22	13	15	59	12	58	85	68	16	33	78	29	57	2	77	7	66	76	9	46	53	82	24	73	11	69	42	39	28	18	1	8	63	65	30	67	17	35	21	83	31	62	54	60	72	64	80	4	41	40	26	52	20	34	55	49	4	9	3	3	6	6	7	166	5	5	5	5	3	3	3	5	4	3	4	6	5	4	3	3	6	4	4	2	5	2	4	6	7	3	6	6	70	7	18	3	3	9	4	2	41	11	132	7	9	11	4	4	5	7	5	3	3	15	146	5	7	3	4	3	7	2	3	2	2	6	5	5	9	4	6	3	3	2	5	4	7	3	9	3	2	4	4	3	407		2021-02-23 12:40:32	T	F	88	88	0	0	1.04	12
127			"base"	"interview"	2021-02-23 12:24:24	1	T	"56"	"deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		1		4		4		4		4		4		4		6	4		4		1		1		1	1	1		4		2		4		7	"Vorgehensweise"	4		1		3		4		3		4		4		4		4		4		4		4		2		3		4		4		2		1		1		4		4		1	1		1		1		1		1		2		1		1		1		1	2		1	1		1	1		1		4		1	6		3		7	"Geruch"	2		1		1		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	3	80	11	58	67	70	80	71	85	17	13	36	23	53	55	30	49	82	31	83	78	29	59	51	19	63	10	73	4	64	16	76	38	39	43	25	26	18	48	2	62	57	27	47	20	9	1	15	32	69	44	14	34	3	8	68	50	33	75	81	28	21	77	72	7	46	66	35	24	52	45	60	6	22	74	37	41	42	84	5	79	65	40	61	12	56	54	26	13	3	4	7	4	3	2	4	4	3	3	7	3	7	3	5	3	7	3	2	4	3	3	4	4	2	7	5	7	4	21	6	3	15	4	8	11	3	7	5	7	5	6	13	5	3	3	6	4	4	17	8	7	3	3	2	1	3	15	6	2	3	4	6	4	3	3	4	6	12	4	5	4	27	3	2	2	5	4	4	17	3	4	3	15	4	6	493		2021-02-23 12:33:06	T	F	88	88	0	0	1.02	10
128			"base"	"interview"	2021-02-23 12:24:38	1	T	"32"	"Deutsch "	2	3		4		6		6		4		3		4		4		3		6		5		4		5		1		6		5		1		4		2	1		4		3		6		1	6	5		5		1		4		1		1		4		6		1		6		5		1		6		4		1		5		4		1		4		2		2		6		4		4		1		3		4	4		4		3		6		6		6		6		6		4		4	6		2	1		4	5		3		4		2	6		1		4		2		4		6		1		6	2	3		6	4	2		2		3	79	45	43	82	56	62	23	80	54	55	47	81	65	15	57	67	8	14	33	72	76	9	74	2	1	68	63	44	20	71	11	32	40	64	34	38	37	5	12	58	22	52	51	31	75	49	30	25	27	3	41	10	79	35	7	59	39	53	61	4	50	24	73	60	18	26	78	19	85	28	6	77	29	48	16	84	83	21	13	66	46	69	36	42	17	70	10	10	1	1	1	2	1	1	3	2	1	1	1	3	1	2	1	1	1	1	1	1	1	4	3	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25	1	54	1	3	1	1	1	1	1	1	4	4	28	1	4	1	1	1	11	1	1	2	2	1	2	0	1	1	2	1	1	1	1	1	1	1	11	4	5	1	1	1	7	164		2021-02-23 12:29:07	T	F	88	88	0	0	2.47	133
129			"base"	"interview"	2021-02-23 12:24:44	1	T	"53"	"Deutsch"	1	4		1		4		4		1		4		4		4		4		4		1		4		4		4		1		4		2		4		3	2		4		1		1		1	1	1		4		2		1		2		2		1		3		3		3		1		4		2		4		2		4		4		4		3		4		4		2		2		1		3		4		2	1		1		1		1		1		1		1		1		1		1	2		1	2		2	1		1		1		1	3		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	81	69	57	68	85	16	51	39	44	37	71	64	40	35	30	10	41	72	56	32	65	67	43	21	84	54	45	62	9	49	78	82	52	83	75	59	63	12	77	7	3	74	2	23	34	8	22	81	33	6	11	14	15	48	27	55	60	66	24	61	76	70	47	1	31	18	25	46	36	53	58	26	28	19	5	80	42	4	13	17	38	79	20	73	29	50	17	125	3	2	3	2	3	3	4	4	5	3	4	4	1	3	4	4	4	3	4	3	6	2	3	2	3	2	3	2	4	3	5	3	3	6	3	4	5	2	6	5	6	5	5	5	5	6	2	5	4	2	5	22	2	7	1	6	6	3	158	2	2	2	4	4	4	3	5	3	6	2	3	2	11	3	123	3	2	3	3	9	3	13	3	12	2	3	356		2021-02-23 12:37:34	T	F	88	88	0	0	1.27	20
130			"base"	"interview"	2021-02-23 12:24:49	1	T	"32"	"deutsch"	2	4		1		4		4		1		4		4		4		4		4		1		4		1		4		4		4		1		4		3	2		6		1		1		1	1	2		2		1		4		2		1		1		3		4		5		1		4		2		4		2		4		4		1		4		6		4		2		5		1		4		1		2	1		1		1		1		1		3		1		1		1		1	2		1	2		1	1		1		2		1	6		3		4		2		1		1		6		4	3	4		5	4	2		7	"Geschmack"	3	83	69	35	82	4	17	33	65	38	56	55	85	5	6	78	48	63	77	2	49	66	79	9	26	25	84	40	46	68	53	22	76	21	59	14	74	30	54	36	61	72	51	75	24	80	27	44	71	67	32	23	45	47	12	43	81	50	29	34	64	11	19	62	15	7	37	28	13	1	60	39	10	73	52	20	70	83	58	31	57	18	16	41	3	42	8	20	22	4	3	2	8	3	8	4	2	6	2	3	3	2	2	6	2	7	4	3	6	3	3	3	4	3	5	4	3	6	2	3	4	8	4	12	3	5	9	5	9	3	3	2	3	8	4	5	10	3	4	3	3	3	5	3	5	3	5	6	2	5	3	7	2	3	1	3	3	8	3	2	3	2	3	4	2	4	3	6	4	2	7	5	16	6	2	412		2021-02-23 12:31:41	T	F	88	88	0	0	1.21	18
131			"base"	"interview"	2021-02-23 12:24:53	1	T	"44"	"Deutsch"	2	4		4		4		4		1		1		4		4		4		4		1		7	"Schmerz"	4		4		1		4		4		7	"Ekel"	2	2		4		1		1		1	1	1		4		2		1		2		2		1		3		6		5		2		3		2		4		2		4		4		4		5		3		4		2		1		1		4		4		2	1		1		1		1		1		2		2		1		1		1	2		1	2		1	1		4		4		1	5		3		4		2		1		4		5		4	5	7	"Geschmack"	5	4	2		7	"Einen Geschmack"	3	82	15	66	23	85	34	70	62	51	83	37	4	55	31	29	60	74	26	20	53	19	22	50	61	6	27	40	48	76	46	3	1	11	71	49	7	77	81	68	16	84	24	9	21	42	28	17	63	57	33	54	73	67	44	79	30	45	47	12	58	2	78	69	82	25	36	65	32	64	13	39	41	75	52	59	38	8	5	43	14	56	18	72	35	80	10	15	12	11	12	12	12	7	20	4	6	6	6	5	12	3	4	23	6	4	16	4	12	5	5	11	3	2	4	18	6	52	5	40	6	8	25	5	7	11	5	3	10	5	6	31	3	33	5	9	8	5	5	62	5	3	3	6	3	4	110	27	5	3	6	3	4	5	10	4	7	5	7	4	3	13	5	8	10	10	9	7	10	5	4	5	24	8	3	523		2021-02-23 12:40:58	T	F	88	88	0	0	0.7	2
132			"base"	"interview"	2021-02-23 12:25:09	1	T	"65"	"Deutsch"	2	7	"Überraschung"	4		7	"Erkenntnis"	7	"Erschrecken"	1		7	"Erkenntnis"	7	"Ausdruck"	7	"Erkenntnis"	4		4		1		4		7	"Überraschung"	7	"Erschrecken"	4		7	"Verachtung"	7	"Aufmerksamkeit"	4		6	2		7	"Ekel"	1		1		1	1	6		7	"Erstaunen"	2		4		2		1		2		7	"Gerümpel"	7	"Kaos"	6		7	"Überraschung"	6		4		4		2		7	"Aufregung"	7	"Frage"	2		7	"Kaos"	4		4		2		1		1		7	"Kaos"	1		2	4		1		1		7	"Unterhaltung"	1		4		2		1		7	"Scharlatan"	1	2		1	2		2	1		4		4		1	6		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	4	4	2		7	"Geschmack"	3	85	25	45	63	73	50	9	5	51	29	33	68	21	52	22	72	35	61	41	16	66	78	11	64	14	40	39	15	80	7	81	30	44	71	55	6	83	62	79	58	82	46	76	85	2	18	75	42	37	17	34	53	49	26	56	70	23	8	24	12	4	54	3	10	57	13	77	32	31	59	1	36	43	38	74	84	20	69	60	27	48	65	28	47	19	67	40	17	25	12	18	31	17	37	19	12	35	4	6	3	66	66	61	35	53	7	3	7	29	19	23	8	18	39	63	7	16	4	4	82	62	13	11	37	32	27	9	57	56	49	11	15	23	37	9	63	4	34	15	26	85	7	7	40	3	73	102	23	55	7	16	5	18	10	24	16	6	24	12	4	33	3	4	4	6	8	12	41	33	9	4	21	6	11	553		2021-02-23 13:01:59	T	F	88	88	0	0	0.38	0
133			"base"	"interview"	2021-02-23 12:25:15	1	T	"27"	"Deutsch"	1	4		4		4		4		1		4		4		4		4		7	"Freude"	2		4		4		4		2		4		4		4		3	2		4		2		5		1	1	1		4		2		4		2		1		1		3		3		3		1		3		2		4		2		2		4		1		2		4		4		2		1		1		2		2		2	3		1		1		2		1		3		5		1		1		1	2		1	2		2	5		4		4		1	3		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	86	36	43	79	60	77	10	6	69	1	39	50	5	78	30	25	84	47	32	24	70	11	18	65	16	28	31	54	64	27	63	40	76	52	44	66	2	57	37	75	14	55	71	9	85	4	83	23	48	46	82	58	74	80	51	61	59	8	19	67	13	22	81	20	49	53	72	35	3	15	7	29	62	21	42	12	34	73	56	33	26	17	38	45	41	68	51	11	4	3	4	2	3	58	4	4	3	11	3	2	3	188	3	150	3	3	3	2	4	4	4	2	2	3	3	3	7	70	2	6	2	3	8	18	9	6	4	3	2	3	7	88	5	5	4	5	4	7	3	20	3	4	3	2	4	2	5	4	3	2	2	4	3	4	4	4	6	2	3	2	10	4	2	5	6	3	7	7	2	66	6	13	2	3	365		2021-02-23 12:42:31	T	F	88	88	0	0	1.14	15
